Series_reference,Period,Data_value,STATUS,Type,Group,Description
CPIQ.SAP0200,2022.09,22.34,FINAL,Weighted average price,NA,Beer – bottles (supermarket & liquor store)
CPIQ.SAP0210,2022.09,7.54,FINAL,Weighted average price,NA,Beer – glass (licensed premises)
CPIQ.SAP0220,2022.09,28.1,FINAL,Weighted average price,NA,"Wine – cask, white (supermarket & liquor store)"
CPIQ.SAP0230,2022.09,48.45,FINAL,Weighted average price,NA,Whisky (liquor store)
CPIQ.SAP0240,2022.09,44.71,FINAL,Weighted average price,NA,Cigarettes (supermarket & convenience store)
CPIQ.SAP0300,2022.09,11.66,FINAL,Weighted average price,NA,Socks – men's (clothing store & department store)
CPIQ.SAP0320,2022.09,37.71,FINAL,Weighted average price,NA,"Dry cleaning – men's two-piece, woollen suit"
CPIQ.SAP0400,2022.09,63.34,FINAL,Weighted average price,NA,Spouting/guttering – plastic
CPIQ.SAP0410,2022.09,587.55,FINAL,Weighted average price,NA,Concrete blocks – 390mm x 190mm x 190mm
CPIQ.SAP0420,2022.09,187.1,FINAL,Weighted average price,NA,"House paint – acrylic, white"
CPIQ.SAP0500,2022.09,214.56,FINAL,Weighted average price,NA,"Carpet – wool, heavy duty, cut pile, width 3.66m"
CPIQ.SAP0510,2022.09,1.16,FINAL,Weighted average price,NA,"Electric light bulb - standard, 100 watt (supermarket)"
CPIQ.SAP0531,2022.09,3.35,FINAL,Weighted average price,NA,Clothes washing powder – concentrate (supermarket)
CPIQ.SAP0541,2022.09,3.48,FINAL,Weighted average price,NA,Detergent – dishwashing liquid (supermarket)(3)
CPIQ.SAP0550,2022.09,4.73,FINAL,Weighted average price,NA,Cling food wrap – refill roll (supermarket)
CPIQ.SAP0600,2022.09,45.53,FINAL,Weighted average price,NA,"General Practitioner – consultation, adult without"
CPIQ.SAP0610,2022.09,88.38,FINAL,Weighted average price,NA,Optometrist – examination
CPIQ.SAP0620,2022.09,166.31,FINAL,Weighted average price,NA,"Dental examination – 2 X-rays, scale and polish"
CPIQ.SAP0700,2022.09,173.21,FINAL,Weighted average price,NA,Car battery – 12 volts
CPIQ.SAP0710,2022.09,27.19,FINAL,Weighted average price,NA,Petrol – 91 octane
CPIQ.SAP0720,2022.09,29.1,FINAL,Weighted average price,NA,Petrol – 95/98 octane
CPIQ.SAP0730,2022.09,26.36,FINAL,Weighted average price,NA,Diesel
CPIQ.SAP0740,2022.09,62.44,FINAL,Weighted average price,NA,Warrant of fitness – private car
CPIQ.SAP0800,2022.09,1.7,FINAL,Weighted average price,NA,"Postage – standard, medium-size envelope"
CPIQ.SAP0910,2022.09,3.68,FINAL,Weighted average price,NA,Pet food – canned (supermarket)
CPIQ.SAP1100,2022.09,80.16,FINAL,Weighted average price,NA,"Hairdressing – women's shampoo, cut, and blow wave"
CPIQ.SAP1110,2022.09,4.45,FINAL,Weighted average price,NA,"Bathroom soap – cake, 100g (supermarket)"
CPIQ.SAP1120,2022.09,5.93,FINAL,Weighted average price,NA,Shampoo (supermarket)
CPIQ.SAP1130,2022.09,3.43,FINAL,Weighted average price,NA,Tissues – facial (supermarket)
CPIQ.SAP1141,2022.09,7.75,FINAL,Weighted average price,NA,Toilet paper (supermarket)
CPIQ.SAP1142,2022.09,73.96,FINAL,Weighted average price,NA,Storage costs (excluding vehicle storage)
CPIQ.SE101,2022.09,1196,FINAL,Regional index,Auckland,Food
CPIQ.SE102,2022.09,1223,FINAL,Regional index,Auckland,Alcoholic beverages and tobacco
CPIQ.SE103,2022.09,1015,FINAL,Regional index,Auckland,Clothing and footwear
CPIQ.SE104,2022.09,1232,FINAL,Regional index,Auckland,Housing and household utilities
CPIQ.SE104101,2022.09,1110,FINAL,Regional index,Auckland,Actual rentals for housing
CPIQ.SE104201,2022.09,1463,FINAL,Regional index,Auckland,Purchase of housing
CPIQ.SE105,2022.09,1104,FINAL,Regional index,Auckland,Household contents and services
CPIQ.SE106,2022.09,1091,FINAL,Regional index,Auckland,Health
CPIQ.SE107,2022.09,1263,FINAL,Regional index,Auckland,Transport
CPIQ.SE107202,2022.09,1516,FINAL,Regional index,Auckland,Petrol
CPIQ.SE109,2022.09,1132,FINAL,Regional index,Auckland,Recreation and culture
CPIQ.SE111,2022.09,1166,FINAL,Regional index,Auckland,Miscellaneous goods and services
CPIQ.SE1A,2022.09,1177,FINAL,Regional index,Auckland,All Groups
CPIQ.SE201,2022.09,1182,FINAL,Regional index,Wellington,Food
CPIQ.SE202,2022.09,1197,FINAL,Regional index,Wellington,Alcoholic beverages and tobacco
CPIQ.SE203,2022.09,1022,FINAL,Regional index,Wellington,Clothing and footwear
CPIQ.SE204,2022.09,1270,FINAL,Regional index,Wellington,Housing and household utilities
CPIQ.SE204101,2022.09,1271,FINAL,Regional index,Wellington,Actual rentals for housing
CPIQ.SE204201,2022.09,1317,FINAL,Regional index,Wellington,Purchase of housing
CPIQ.SE205,2022.09,1161,FINAL,Regional index,Wellington,Household contents and services
CPIQ.SE206,2022.09,1112,FINAL,Regional index,Wellington,Health
CPIQ.SE207,2022.09,1224,FINAL,Regional index,Wellington,Transport
CPIQ.SE207202,2022.09,1385,FINAL,Regional index,Wellington,Petrol
CPIQ.SE209,2022.09,1104,FINAL,Regional index,Wellington,Recreation and culture
CPIQ.SE211,2022.09,1174,FINAL,Regional index,Wellington,Miscellaneous goods and services
CPIQ.SE2A,2022.09,1177,FINAL,Regional index,Wellington,All Groups
CPIQ.SE301,2022.09,1193,FINAL,Regional index,Rest of North Island,Food
CPIQ.SE302,2022.09,1260,FINAL,Regional index,Rest of North Island,Alcoholic beverages and tobacco
CPIQ.SE303,2022.09,1030,FINAL,Regional index,Rest of North Island,Clothing and footwear
CPIQ.SE304,2022.09,1344,FINAL,Regional index,Rest of North Island,Housing and household utilities
CPIQ.SE304101,2022.09,1293,FINAL,Regional index,Rest of North Island,Actual rentals for housing
CPIQ.SE304201,2022.09,1590,FINAL,Regional index,Rest of North Island,Purchase of housing
CPIQ.SE305,2022.09,1149,FINAL,Regional index,Rest of North Island,Household contents and services
CPIQ.SE306,2022.09,1129,FINAL,Regional index,Rest of North Island,Health
CPIQ.SE307,2022.09,1273,FINAL,Regional index,Rest of North Island,Transport
CPIQ.SE307202,2022.09,1479,FINAL,Regional index,Rest of North Island,Petrol
CPIQ.SE309,2022.09,1117,FINAL,Regional index,Rest of North Island,Recreation and culture
CPIQ.SE311,2022.09,1172,FINAL,Regional index,Rest of North Island,Miscellaneous goods and services
CPIQ.SE3A,2022.09,1209,FINAL,Regional index,Rest of North Island,All Groups
CPIQ.SE401,2022.09,1193,FINAL,Regional index,North Island,Food
CPIQ.SE402,2022.09,1235,FINAL,Regional index,North Island,Alcoholic beverages and tobacco
CPIQ.SE403,2022.09,1021,FINAL,Regional index,North Island,Clothing and footwear
CPIQ.SE404,2022.09,1276,FINAL,Regional index,North Island,Housing and household utilities
CPIQ.SE404101,2022.09,1187,FINAL,Regional index,North Island,Actual rentals for housing
CPIQ.SE404201,2022.09,1488,FINAL,Regional index,North Island,Purchase of housing
CPIQ.SE405,2022.09,1131,FINAL,Regional index,North Island,Household contents and services
CPIQ.SE406,2022.09,1110,FINAL,Regional index,North Island,Health
CPIQ.SE407,2022.09,1263,FINAL,Regional index,North Island,Transport
CPIQ.SE407202,2022.09,1484,FINAL,Regional index,North Island,Petrol
CPIQ.SE409,2022.09,1122,FINAL,Regional index,North Island,Recreation and culture
CPIQ.SE411,2022.09,1170,FINAL,Regional index,North Island,Miscellaneous goods and services
CPIQ.SE4A,2022.09,1190,FINAL,Regional index,North Island,All Groups
CPIQ.SE501,2022.09,1172,FINAL,Regional index,Canterbury,Food
CPIQ.SE502,2022.09,1224,FINAL,Regional index,Canterbury,Alcoholic beverages and tobacco
CPIQ.SE503,2022.09,1041,FINAL,Regional index,Canterbury,Clothing and footwear
CPIQ.SE504,2022.09,1208,FINAL,Regional index,Canterbury,Housing and household utilities
CPIQ.SE504101,2022.09,1114,FINAL,Regional index,Canterbury,Actual rentals for housing
CPIQ.SE504201,2022.09,1267,FINAL,Regional index,Canterbury,Purchase of housing
CPIQ.SE505,2022.09,1122,FINAL,Regional index,Canterbury,Household contents and services
CPIQ.SE506,2022.09,1134,FINAL,Regional index,Canterbury,Health
CPIQ.SE507,2022.09,1256,FINAL,Regional index,Canterbury,Transport
CPIQ.SE507202,2022.09,1344,FINAL,Regional index,Canterbury,Petrol
CPIQ.SE509,2022.09,1135,FINAL,Regional index,Canterbury,Recreation and culture
CPIQ.SE511,2022.09,1220,FINAL,Regional index,Canterbury,Miscellaneous goods and services
CPIQ.SE5A,2022.09,1170,FINAL,Regional index,Canterbury,All Groups
CPIQ.SE601,2022.09,1192,FINAL,Regional index,Rest of South Island,Food
CPIQ.SE602,2022.09,1258,FINAL,Regional index,Rest of South Island,Alcoholic beverages and tobacco
CPIQ.SE603,2022.09,1036,FINAL,Regional index,Rest of South Island,Clothing and footwear
CPIQ.SE604,2022.09,1294,FINAL,Regional index,Rest of South Island,Housing and household utilities
CPIQ.SE604101,2022.09,1200,FINAL,Regional index,Rest of South Island,Actual rentals for housing
CPIQ.SE604201,2022.09,1476,FINAL,Regional index,Rest of South Island,Purchase of housing
CPIQ.SE605,2022.09,1122,FINAL,Regional index,Rest of South Island,Household contents and services
CPIQ.SE606,2022.09,1106,FINAL,Regional index,Rest of South Island,Health
CPIQ.SE607,2022.09,1250,FINAL,Regional index,Rest of South Island,Transport
CPIQ.SE607202,2022.09,1346,FINAL,Regional index,Rest of South Island,Petrol
CPIQ.SE609,2022.09,1126,FINAL,Regional index,Rest of South Island,Recreation and culture
CPIQ.SE611,2022.09,1190,FINAL,Regional index,Rest of South Island,Miscellaneous goods and services
CPIQ.SE6A,2022.09,1190,FINAL,Regional index,Rest of South Island,All Groups
CPIQ.SE701,2022.09,1181,FINAL,Regional index,South Island,Food
CPIQ.SE702,2022.09,1240,FINAL,Regional index,South Island,Alcoholic beverages and tobacco
CPIQ.SE703,2022.09,1040,FINAL,Regional index,South Island,Clothing and footwear
CPIQ.SE704,2022.09,1244,FINAL,Regional index,South Island,Housing and household utilities
CPIQ.SE704101,2022.09,1146,FINAL,Regional index,South Island,Actual rentals for housing
CPIQ.SE704201,2022.09,1346,FINAL,Regional index,South Island,Purchase of housing
CPIQ.SE705,2022.09,1123,FINAL,Regional index,South Island,Household contents and services
CPIQ.SE706,2022.09,1121,FINAL,Regional index,South Island,Health
CPIQ.SE707,2022.09,1253,FINAL,Regional index,South Island,Transport
CPIQ.SE707202,2022.09,1342,FINAL,Regional index,South Island,Petrol
CPIQ.SE709,2022.09,1131,FINAL,Regional index,South Island,Recreation and culture
CPIQ.SE711,2022.09,1207,FINAL,Regional index,South Island,Miscellaneous goods and services
CPIQ.SE7A,2022.09,1179,FINAL,Regional index,South Island,All Groups
CPIQ.SE901,2022.09,1190,FINAL,Main CPI,Group,Food
CPIQ.SE9011,2022.09,1267,FINAL,Main CPI,Subgroup,Fruit and vegetables
CPIQ.SE901101,2022.09,1148,FINAL,Main CPI,Class,Fruit
CPIQ.SE901101IPCA,2022.09,1.33,FINAL,Index point contribution annual,Class,Fruit
CPIQ.SE901101IPCP,2022.09,0.51,FINAL,Index point contribution quarterly,Class,Fruit
CPIQ.SE901101PCCA,2022.09,1.7,FINAL,Percentage contribution annual,Class,Fruit
CPIQ.SE901101PCCP,2022.09,2.1,FINAL,Percentage contribution quarterly,Class,Fruit
CPIQ.SE901101PPCA,2022.09,0.12,FINAL,Percentage points contribution annual,Class,Fruit
CPIQ.SE901101PPCP,2022.09,0.044,FINAL,Percentage points contribution quarterly,Class,Fruit
CPIQ.SE901102,2022.09,1342,FINAL,Main CPI,Class,Vegetables
CPIQ.SE901102IPCA,2022.09,2.62,FINAL,Index point contribution annual,Class,Vegetables
CPIQ.SE901102IPCP,2022.09,4.23,FINAL,Index point contribution quarterly,Class,Vegetables
CPIQ.SE901102PCCA,2022.09,3.3,FINAL,Percentage contribution annual,Class,Vegetables
CPIQ.SE901102PCCP,2022.09,17.2,FINAL,Percentage contribution quarterly,Class,Vegetables
CPIQ.SE901102PPCA,2022.09,0.237,FINAL,Percentage points contribution annual,Class,Vegetables
CPIQ.SE901102PPCP,2022.09,0.362,FINAL,Percentage points contribution quarterly,Class,Vegetables
CPIQ.SE9011IPCA,2022.09,3.94,FINAL,Index point contribution annual,Subgroup,Fruit and vegetables
CPIQ.SE9011IPCP,2022.09,4.74,FINAL,Index point contribution quarterly,Subgroup,Fruit and vegetables
CPIQ.SE9011PCCA,2022.09,5,FINAL,Percentage contribution annual,Subgroup,Fruit and vegetables
CPIQ.SE9011PCCP,2022.09,19.3,FINAL,Percentage contribution quarterly,Subgroup,Fruit and vegetables
CPIQ.SE9011PPCA,2022.09,0.357,FINAL,Percentage points contribution annual,Subgroup,Fruit and vegetables
CPIQ.SE9011PPCP,2022.09,0.406,FINAL,Percentage points contribution quarterly,Subgroup,Fruit and vegetables
CPIQ.SE9012,2022.09,1182,FINAL,Main CPI,Subgroup,"Meat, poultry and fish"
CPIQ.SE901201,2022.09,1176,FINAL,Main CPI,Class,Meat and poultry
CPIQ.SE9012011,2022.09,1216,FINAL,Main CPI,Section,"Beef and veal (fresh, chilled or frozen)"
CPIQ.SE9012012,2022.09,1027,FINAL,Main CPI,Section,"Pork (fresh, chilled or frozen)"
CPIQ.SE9012013,2022.09,1282,FINAL,Main CPI,Section,"Mutton, lamb and hogget (fresh, chilled or frozen)"
CPIQ.SE9012014,2022.09,1077,FINAL,Main CPI,Section,"Poultry (fresh, chilled or frozen)"
CPIQ.SE9012016,2022.09,1219,FINAL,Main CPI,Section,"Preserved, prepared and processed meat"
CPIQ.SE901201IPCA,2022.09,1.87,FINAL,Index point contribution annual,Class,Meat and poultry
CPIQ.SE901201IPCP,2022.09,0.68,FINAL,Index point contribution quarterly,Class,Meat and poultry
CPIQ.SE901201PCCA,2022.09,2.3,FINAL,Percentage contribution annual,Class,Meat and poultry
CPIQ.SE901201PCCP,2022.09,2.8,FINAL,Percentage contribution quarterly,Class,Meat and poultry
CPIQ.SE901201PPCA,2022.09,0.169,FINAL,Percentage points contribution annual,Class,Meat and poultry
CPIQ.SE901201PPCP,2022.09,0.058,FINAL,Percentage points contribution quarterly,Class,Meat and poultry
CPIQ.SE901202,2022.09,1215,FINAL,Main CPI,Class,Fish and other seafood
CPIQ.SE901202IPCA,2022.09,0.3,FINAL,Index point contribution annual,Class,Fish and other seafood
CPIQ.SE901202IPCP,2022.09,0.17,FINAL,Index point contribution quarterly,Class,Fish and other seafood
CPIQ.SE901202PCCA,2022.09,0.4,FINAL,Percentage contribution annual,Class,Fish and other seafood
CPIQ.SE901202PCCP,2022.09,0.7,FINAL,Percentage contribution quarterly,Class,Fish and other seafood
CPIQ.SE901202PPCA,2022.09,0.027,FINAL,Percentage points contribution annual,Class,Fish and other seafood
CPIQ.SE901202PPCP,2022.09,0.015,FINAL,Percentage points contribution quarterly,Class,Fish and other seafood
CPIQ.SE9012IPCA,2022.09,2.16,FINAL,Index point contribution annual,Subgroup,"Meat, poultry and fish"
CPIQ.SE9012IPCP,2022.09,0.85,FINAL,Index point contribution quarterly,Subgroup,"Meat, poultry and fish"
CPIQ.SE9012PCCA,2022.09,2.7,FINAL,Percentage contribution annual,Subgroup,"Meat, poultry and fish"
CPIQ.SE9012PCCP,2022.09,3.5,FINAL,Percentage contribution quarterly,Subgroup,"Meat, poultry and fish"
CPIQ.SE9012PPCA,2022.09,0.196,FINAL,Percentage points contribution annual,Subgroup,"Meat, poultry and fish"
CPIQ.SE9012PPCP,2022.09,0.073,FINAL,Percentage points contribution quarterly,Subgroup,"Meat, poultry and fish"
CPIQ.SE9013,2022.09,1155,FINAL,Main CPI,Subgroup,Grocery food
CPIQ.SE901301,2022.09,1147,FINAL,Main CPI,Class,Bread and cereals
CPIQ.SE9013011,2022.09,1189,FINAL,Main CPI,Section,Bread
CPIQ.SE9013012,2022.09,1115,FINAL,Main CPI,Section,Cakes and biscuits
CPIQ.SE9013013,2022.09,1043,FINAL,Main CPI,Section,Breakfast cereals
CPIQ.SE9013014,2022.09,1210,FINAL,Main CPI,Section,Pasta products
CPIQ.SE9013015,2022.09,1316,FINAL,Main CPI,Section,Pastry-cook products
