Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIQ.SE9S01,2006.06,762,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2006.09,771,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2006.12,780,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2007.03,788,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2007.06,794,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2007.09,796,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2007.12,814,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2008.03,828,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2008.06,849,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2008.09,871,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2008.12,891,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2009.03,901,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2009.06,912,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2009.09,917,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2009.12,904,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2010.03,912,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2010.06,906,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2010.09,917,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2010.12,947,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2011.03,956,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2011.06,969,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2011.09,973,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2011.12,965,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2012.03,963,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2012.06,964,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2012.09,963,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2012.12,961,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2013.03,964,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2013.06,965,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2013.09,971,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2013.12,974,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2014.03,971,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2014.06,979,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2014.09,970,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2014.12,980,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2015.03,982,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2015.06,979,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIQ.SE9S01,2015.09,978,REVISED,Index,CPI,"CPI Level 1 Groups for New Zealand, Seasonally adjusted",Seasonally adjusted
