"name","year","quarter","count"
"JavaScript","2012","2","29168"
"Ruby","2012","2","21053"
"Python","2012","2","20940"
"PHP","2012","2","13371"
"Java","2012","2","12817"
"C++","2012","2","10648"
"C","2012","2","5324"
"Objective-C","2012","2","3228"
"C#","2012","2","3216"
"XSLT","2012","2","1828"
"HTML","2012","2","1644"
"CSS","2012","2","1427"
"Shell","2012","2","1343"
"Scala","2012","2","1099"
"Haskell","2012","2","1076"
"CoffeeScript","2012","2","974"
"Perl","2012","2","731"
"Go","2012","2","658"
"Erlang","2012","2","589"
"Clojure","2012","2","522"
"Emacs Lisp","2012","2","427"
"Groovy","2012","2","385"
"ActionScript","2012","2","369"
"Lua","2012","2","317"
"VimL","2012","2","220"
"Smalltalk","2012","2","207"
"Makefile","2012","2","202"
"Objective-J","2012","2","201"
"ColdFusion","2012","2","147"
"D","2012","2","144"
"LiveScript","2012","2","142"
"Common Lisp","2012","2","131"
"Haxe","2012","2","113"
"OCaml","2012","2","110"
"Factor","2012","2","106"
"Brightscript","2012","2","104"
"JavaScript","2012","3","33880"
"Python","2012","3","24381"
"Ruby","2012","3","21241"
"PHP","2012","3","15788"
"Java","2012","3","14990"
"C++","2012","3","11492"
"C","2012","3","6822"
"Objective-C","2012","3","4088"
"C#","2012","3","3908"
"HTML","2012","3","2860"
"Shell","2012","3","1864"
"CoffeeScript","2012","3","1681"
"AutoHotkey","2012","3","1511"
"CSS","2012","3","1417"
"Go","2012","3","1395"
"Haskell","2012","3","1382"
"Scala","2012","3","994"
"Objective-C++","2012","3","782"
"Emacs Lisp","2012","3","652"
"Perl","2012","3","647"
"Clojure","2012","3","641"
"Jupyter Notebook","2012","3","531"
"Erlang","2012","3","521"
"Lua","2012","3","509"
"OCaml","2012","3","406"
"Groovy","2012","3","395"
"XSLT","2012","3","296"
"Factor","2012","3","285"
"VimL","2012","3","272"
"Objective-J","2012","3","258"
"ActionScript","2012","3","233"
"Makefile","2012","3","181"
"LiveScript","2012","3","172"
"Smalltalk","2012","3","159"
"TypeScript","2012","3","157"
"Haxe","2012","3","153"
"D","2012","3","134"
"DCPU-16 ASM","2012","3","132"
"Pony","2012","3","114"
"Common Lisp","2012","3","105"
"Matlab","2012","3","101"
"JavaScript","2012","4","39218"
"Python","2012","4","26929"
"Ruby","2012","4","23951"
"PHP","2012","4","20683"
"Java","2012","4","18133"
"C++","2012","4","13839"
"C","2012","4","11713"
"Objective-C","2012","4","5091"
"C#","2012","4","4782"
"HTML","2012","4","4198"
"Haskell","2012","4","2952"
"CoffeeScript","2012","4","2269"
"CSS","2012","4","2188"
"Shell","2012","4","1975"
"Go","2012","4","1515"
"Scala","2012","4","1478"
"Lua","2012","4","1377"
"Emacs Lisp","2012","4","805"
"Perl","2012","4","715"
"Clojure","2012","4","596"
"Erlang","2012","4","571"
"VimL","2012","4","407"
"OCaml","2012","4","383"
"Matlab","2012","4","357"
"TypeScript","2012","4","348"
"XSLT","2012","4","312"
"Groovy","2012","4","304"
"Makefile","2012","4","263"
"Objective-C++","2012","4","248"
"Common Lisp","2012","4","212"
"F#","2012","4","149"
"LiveScript","2012","4","144"
"ActionScript","2012","4","139"
"PLpgSQL","2012","4","122"
"Objective-J","2012","4","119"
"Groff","2012","4","112"
"Haxe","2012","4","111"
"Visual Basic","2012","4","108"
"Racket","2012","4","101"
"JavaScript","2013","1","59628"
"Java","2013","1","37504"
"Python","2013","1","35894"
"PHP","2013","1","35069"
"Ruby","2013","1","33674"
"C++","2013","1","19763"
"C","2013","1","13743"
"C#","2013","1","7233"
"Objective-C","2013","1","6964"
"HTML","2013","1","4966"
"CSS","2013","1","3732"
"Shell","2013","1","3247"
"Scala","2013","1","3066"
"CoffeeScript","2013","1","3001"
"Go","2013","1","2478"
"Haskell","2013","1","1962"
"Lua","2013","1","1332"
"Perl","2013","1","1232"
"Emacs Lisp","2013","1","1068"
"Objective-J","2013","1","733"
"Clojure","2013","1","712"
"OCaml","2013","1","686"
"TypeScript","2013","1","642"
"Groovy","2013","1","633"
"Erlang","2013","1","606"
"VimL","2013","1","604"
"Objective-C++","2013","1","557"
"XSLT","2013","1","526"
"ActionScript","2013","1","489"
"Jupyter Notebook","2013","1","442"
"Matlab","2013","1","409"
"Julia","2013","1","299"
"SQF","2013","1","272"
"Common Lisp","2013","1","263"
"Groff","2013","1","242"
"Haxe","2013","1","236"
"Standard ML","2013","1","236"
"Makefile","2013","1","228"
"Vala","2013","1","207"
"PLpgSQL","2013","1","206"
"Cuda","2013","1","180"
"TeX","2013","1","165"
"PowerShell","2013","1","139"
"D","2013","1","138"
"LiveScript","2013","1","136"
"Dart","2013","1","128"
"Assembly","2013","1","122"
"R","2013","1","117"
"Factor","2013","1","117"
"Pascal","2013","1","112"
"F#","2013","1","105"
"AGS Script","2013","1","101"
"DM","2013","1","100"
"JavaScript","2013","2","67169"
"Python","2013","2","45236"
"PHP","2013","2","38688"
"Ruby","2013","2","35776"
"Java","2013","2","34006"
"C++","2013","2","17887"
"C","2013","2","13012"
"C#","2013","2","8433"
"Objective-C","2013","2","6728"
"HTML","2013","2","5990"
"CSS","2013","2","5124"
"Go","2013","2","3530"
"Shell","2013","2","3294"
"CoffeeScript","2013","2","3045"
"Scala","2013","2","2144"
"Haskell","2013","2","1871"
"Lua","2013","2","1654"
"Perl","2013","2","1535"
"Emacs Lisp","2013","2","1044"
"VimL","2013","2","775"
"OCaml","2013","2","746"
"Erlang","2013","2","640"
"Clojure","2013","2","622"
"DM","2013","2","552"
"Matlab","2013","2","496"
"Groovy","2013","2","496"
"TypeScript","2013","2","475"
"XSLT","2013","2","392"
"Puppet","2013","2","371"
"ActionScript","2013","2","369"
"Haxe","2013","2","365"
"Julia","2013","2","349"
"Vala","2013","2","330"
"Dart","2013","2","302"
"Makefile","2013","2","294"
"PostScript","2013","2","286"
"Common Lisp","2013","2","265"
"Jupyter Notebook","2013","2","244"
"Objective-J","2013","2","211"
"Objective-C++","2013","2","199"
"Swift","2013","2","171"
"TeX","2013","2","159"
"Standard ML","2013","2","154"
"F#","2013","2","144"
"Yacc","2013","2","137"
"Game Maker Language","2013","2","129"
"PowerShell","2013","2","114"
"Factor","2013","2","112"
"D","2013","2","108"
"JavaScript","2013","3","84620"
"Python","2013","3","48263"
"Java","2013","3","38647"
"Ruby","2013","3","36440"
"PHP","2013","3","35887"
"C++","2013","3","18800"
"C","2013","3","13705"
"C#","2013","3","9913"
"Objective-C","2013","3","8849"
"CSS","2013","3","7734"
"HTML","2013","3","7485"
"Go","2013","3","4677"
"CoffeeScript","2013","3","4014"
"Shell","2013","3","3646"
"Scala","2013","3","2849"
"Haskell","2013","3","2637"
"Lua","2013","3","1991"
"Perl","2013","3","1672"
"Emacs Lisp","2013","3","1301"
"VimL","2013","3","1211"
"TypeScript","2013","3","1035"
"OCaml","2013","3","865"
"Erlang","2013","3","765"
"Clojure","2013","3","750"
"Groovy","2013","3","723"
"Haxe","2013","3","703"
"XSLT","2013","3","682"
"Puppet","2013","3","609"
"Julia","2013","3","529"
"Dart","2013","3","492"
"Eiffel","2013","3","469"
"Matlab","2013","3","459"
"DM","2013","3","430"
"ActionScript","2013","3","404"
"TeX","2013","3","348"
"Vala","2013","3","284"
"Common Lisp","2013","3","263"
"F#","2013","3","254"
"D","2013","3","250"
"Rust","2013","3","235"
"Kotlin","2013","3","223"
"Makefile","2013","3","213"
"Eagle","2013","3","207"
"R","2013","3","197"
"Assembly","2013","3","197"
"PowerShell","2013","3","192"
"Elixir","2013","3","189"
"Objective-J","2013","3","187"
"Game Maker Language","2013","3","186"
"Objective-C++","2013","3","182"
"Web Ontology Language","2013","3","173"
"Visual Basic","2013","3","128"
"LiveScript","2013","3","126"
"API Blueprint","2013","3","120"
"Scheme","2013","3","119"
"Smalltalk","2013","3","116"
"FORTRAN","2013","3","115"
"Swift","2013","3","110"
"Jupyter Notebook","2013","3","110"
"JavaScript","2013","4","97774"
"Python","2013","4","55823"
"Java","2013","4","44946"
"PHP","2013","4","42069"
"Ruby","2013","4","38433"
"C++","2013","4","28472"
"C","2013","4","16489"
"C#","2013","4","13285"
"Objective-C","2013","4","12087"
"HTML","2013","4","11054"
"CSS","2013","4","9111"
"Go","2013","4","6083"
"CoffeeScript","2013","4","5109"
"Shell","2013","4","5086"
"Scala","2013","4","3874"
"Haskell","2013","4","2689"
"Perl","2013","4","2684"
"Emacs Lisp","2013","4","1725"
"Lua","2013","4","1604"
"TypeScript","2013","4","1457"
"Groovy","2013","4","1227"
"VimL","2013","4","1031"
"OCaml","2013","4","1010"
"Erlang","2013","4","956"
"Julia","2013","4","909"
"Clojure","2013","4","883"
"F#","2013","4","695"
"Puppet","2013","4","637"
"ActionScript","2013","4","602"
"Dart","2013","4","582"
"Haxe","2013","4","493"
"XSLT","2013","4","472"
"Vala","2013","4","429"
"D","2013","4","402"
"DM","2013","4","393"
"PowerShell","2013","4","365"
"TeX","2013","4","351"
"Jupyter Notebook","2013","4","317"
"Matlab","2013","4","315"
"Game Maker Language","2013","4","309"
