"name","year","quarter","count"
"Ruby","2012","2","18117"
"Python","2012","2","16557"
"JavaScript","2012","2","16411"
"PHP","2012","2","14460"
"Java","2012","2","8006"
"C++","2012","2","4879"
"C","2012","2","4217"
"C#","2012","2","1866"
"Scala","2012","2","1848"
"Objective-C","2012","2","1674"
"Shell","2012","2","1284"
"HTML","2012","2","1272"
"Perl","2012","2","967"
"CoffeeScript","2012","2","793"
"Haskell","2012","2","723"
"Erlang","2012","2","644"
"CSS","2012","2","622"
"Emacs Lisp","2012","2","495"
"Clojure","2012","2","430"
"Lua","2012","2","344"
"Go","2012","2","324"
"Groovy","2012","2","210"
"Puppet","2012","2","189"
"VimL","2012","2","185"
"XSLT","2012","2","171"
"Objective-J","2012","2","127"
"nesC","2012","2","108"
"TypeScript","2012","2","101"
"JavaScript","2012","3","20283"
"Python","2012","3","19538"
"Ruby","2012","3","19325"
"PHP","2012","3","17828"
"Java","2012","3","10093"
"C++","2012","3","5900"
"C","2012","3","5665"
"Scala","2012","3","2439"
"C#","2012","3","1975"
"Objective-C","2012","3","1925"
"Shell","2012","3","1716"
"HTML","2012","3","1703"
"Perl","2012","3","1221"
"CoffeeScript","2012","3","1029"
"Haskell","2012","3","1023"
"CSS","2012","3","756"
"Erlang","2012","3","683"
"Go","2012","3","572"
"Clojure","2012","3","568"
"Emacs Lisp","2012","3","505"
"Lua","2012","3","432"
"Groovy","2012","3","349"
"VimL","2012","3","248"
"nesC","2012","3","227"
"OCaml","2012","3","220"
"Objective-C++","2012","3","207"
"Puppet","2012","3","147"
"Objective-J","2012","3","141"
"XSLT","2012","3","139"
"Ruby","2012","4","23998"
"Python","2012","4","22988"
"JavaScript","2012","4","22485"
"PHP","2012","4","19447"
"Java","2012","4","13383"
"C","2012","4","7174"
"C++","2012","4","6929"
"C#","2012","4","2480"
"Objective-C","2012","4","2333"
"Scala","2012","4","2103"
"HTML","2012","4","2103"
"Shell","2012","4","1660"
"Perl","2012","4","1463"
"Haskell","2012","4","1310"
"CoffeeScript","2012","4","1133"
"CSS","2012","4","1046"
"Go","2012","4","833"
"Erlang","2012","4","812"
"Clojure","2012","4","658"
"Lua","2012","4","539"
"Emacs Lisp","2012","4","496"
"Groovy","2012","4","369"
"VimL","2012","4","311"
"nesC","2012","4","304"
"TypeScript","2012","4","293"
"Puppet","2012","4","290"
"OCaml","2012","4","244"
"Delphi","2012","4","124"
"Jupyter Notebook","2012","4","121"
"Common Lisp","2012","4","104"
"Ruby","2013","1","34510"
"JavaScript","2013","1","33897"
"Python","2013","1","32238"
"PHP","2013","1","27349"
"Java","2013","1","19844"
"C","2013","1","8731"
"C++","2013","1","8467"
"Objective-C","2013","1","3720"
"C#","2013","1","3682"
"HTML","2013","1","3437"
"Scala","2013","1","2933"
"Shell","2013","1","2826"
"CoffeeScript","2013","1","1939"
"CSS","2013","1","1919"
"Perl","2013","1","1856"
"Haskell","2013","1","1543"
"Go","2013","1","1343"
"Erlang","2013","1","959"
"Emacs Lisp","2013","1","903"
"nesC","2013","1","809"
"Clojure","2013","1","709"
"TypeScript","2013","1","681"
"Lua","2013","1","418"
"Groovy","2013","1","412"
"Puppet","2013","1","341"
"OCaml","2013","1","324"
"VimL","2013","1","299"
"Objective-J","2013","1","248"
"Pascal","2013","1","180"
"SQF","2013","1","172"
"DM","2013","1","168"
"Matlab","2013","1","156"
"Julia","2013","1","155"
"Jupyter Notebook","2013","1","130"
"Smalltalk","2013","1","130"
"XSLT","2013","1","127"
"PowerShell","2013","1","108"
"ActionScript","2013","1","104"
"R","2013","1","103"
"F#","2013","1","102"
"Python","2013","2","40260"
"JavaScript","2013","2","39445"
"Ruby","2013","2","37890"
"PHP","2013","2","29883"
"Java","2013","2","20330"
"C++","2013","2","11076"
"C","2013","2","9514"
"C#","2013","2","4705"
"Objective-C","2013","2","4375"
"HTML","2013","2","4310"
"Perl","2013","2","3134"
"Scala","2013","2","2822"
"CSS","2013","2","2591"
"Shell","2013","2","2546"
"Go","2013","2","2379"
"CoffeeScript","2013","2","1877"
"Haskell","2013","2","1363"
"Erlang","2013","2","1090"
"TypeScript","2013","2","1043"
"Emacs Lisp","2013","2","918"
"nesC","2013","2","837"
"DM","2013","2","817"
"Lua","2013","2","793"
"Clojure","2013","2","744"
"OCaml","2013","2","559"
"Puppet","2013","2","525"
"Groovy","2013","2","430"
"VimL","2013","2","428"
"Common Lisp","2013","2","322"
"Dart","2013","2","211"
"Julia","2013","2","182"
"Smalltalk","2013","2","174"
"Jupyter Notebook","2013","2","168"
"Perl6","2013","2","154"
"Haxe","2013","2","152"
"XSLT","2013","2","147"
"Rust","2013","2","138"
"Vala","2013","2","135"
"F#","2013","2","125"
"Makefile","2013","2","123"
"Pascal","2013","2","122"
"Objective-J","2013","2","100"
"JavaScript","2013","3","48213"
"Python","2013","3","47380"
"Ruby","2013","3","40999"
"PHP","2013","3","32394"
"Java","2013","3","24520"
"C++","2013","3","13640"
"C","2013","3","11128"
"HTML","2013","3","5576"
"C#","2013","3","5292"
"Objective-C","2013","3","5137"
"CSS","2013","3","4603"
"Go","2013","3","3746"
"Shell","2013","3","3463"
"Scala","2013","3","3455"
"Perl","2013","3","2628"
"CoffeeScript","2013","3","2510"
"Haskell","2013","3","1591"
"TypeScript","2013","3","1474"
"Emacs Lisp","2013","3","1315"
"OCaml","2013","3","1231"
"Erlang","2013","3","1131"
"Lua","2013","3","971"
"Puppet","2013","3","962"
"DM","2013","3","877"
"Clojure","2013","3","857"
"Groovy","2013","3","718"
"VimL","2013","3","707"
