"name","year","quarter","count"
"JavaScript","2012","2","105379"
"Python","2012","2","99936"
"Ruby","2012","2","92073"
"Java","2012","2","70815"
"PHP","2012","2","69346"
"C","2012","2","58582"
"C++","2012","2","54256"
"C#","2012","2","13012"
"Shell","2012","2","12882"
"Objective-C","2012","2","11148"
"Perl","2012","2","9761"
"Haskell","2012","2","9335"
"HTML","2012","2","9088"
"Scala","2012","2","7531"
"CoffeeScript","2012","2","7516"
"CSS","2012","2","5905"
"Go","2012","2","3835"
"Erlang","2012","2","3445"
"Clojure","2012","2","3227"
"VimL","2012","2","3102"
"Emacs Lisp","2012","2","2909"
"XSLT","2012","2","2555"
"OCaml","2012","2","2224"
"Lua","2012","2","1881"
"Groovy","2012","2","1395"
"Common Lisp","2012","2","1284"
"Perl6","2012","2","1240"
"Smalltalk","2012","2","1109"
"TypeScript","2012","2","1008"
"ActionScript","2012","2","925"
"R","2012","2","855"
"Vala","2012","2","822"
"D","2012","2","821"
"Matlab","2012","2","818"
"Assembly","2012","2","771"
"TeX","2012","2","737"
"Puppet","2012","2","723"
"ColdFusion","2012","2","522"
"Makefile","2012","2","412"
"Haxe","2012","2","411"
"PLpgSQL","2012","2","400"
"DCPU-16 ASM","2012","2","399"
"FORTRAN","2012","2","391"
"nesC","2012","2","371"
"LiveScript","2012","2","327"
"Tcl","2012","2","313"
"Factor","2012","2","310"
"Scheme","2012","2","300"
"DM","2012","2","300"
"Objective-J","2012","2","297"
"Pascal","2012","2","265"
"Rust","2012","2","264"
"AGS Script","2012","2","257"
"Mirah","2012","2","242"
"Arduino","2012","2","240"
"Dart","2012","2","232"
"Web Ontology Language","2012","2","223"
"Jupyter Notebook","2012","2","219"
"OpenEdge ABL","2012","2","213"
"AutoHotkey","2012","2","209"
"Verilog","2012","2","208"
"Racket","2012","2","204"
"F#","2012","2","203"
"Max","2012","2","195"
"KiCad","2012","2","194"
"CMake","2012","2","178"
"PowerShell","2012","2","168"
"Groff","2012","2","168"
"Eagle","2012","2","137"
"Agda","2012","2","134"
"Fancy","2012","2","130"
"Visual Basic","2012","2","129"
"Ada","2012","2","120"
"Cucumber","2012","2","119"
"BitBake","2012","2","109"
"VHDL","2012","2","100"
"JavaScript","2012","3","121271"
"Python","2012","3","119659"
"Ruby","2012","3","97509"
"PHP","2012","3","81849"
"Java","2012","3","78747"
"C","2012","3","68478"
"C++","2012","3","60314"
"Shell","2012","3","16321"
"C#","2012","3","16138"
"Objective-C","2012","3","12020"
"HTML","2012","3","11583"
"Haskell","2012","3","10047"
"Perl","2012","3","8535"
"CSS","2012","3","7648"
"Scala","2012","3","7402"
"Go","2012","3","6963"
"CoffeeScript","2012","3","6689"
"Erlang","2012","3","3791"
"VimL","2012","3","3702"
"Clojure","2012","3","3470"
"Emacs Lisp","2012","3","3424"
"Lua","2012","3","3013"
"OCaml","2012","3","2718"
"Groovy","2012","3","2177"
"XSLT","2012","3","1978"
"Factor","2012","3","1812"
"Perl6","2012","3","1389"
"Common Lisp","2012","3","1227"
"Puppet","2012","3","1134"
"BitBake","2012","3","1103"
"D","2012","3","1055"
"Makefile","2012","3","950"
"TypeScript","2012","3","932"
"ActionScript","2012","3","844"
"Vala","2012","3","798"
"Matlab","2012","3","790"
"TeX","2012","3","782"
"Scheme","2012","3","760"
"nesC","2012","3","744"
"Smalltalk","2012","3","734"
"R","2012","3","701"
"PLpgSQL","2012","3","602"
"FORTRAN","2012","3","545"
"Objective-C++","2012","3","539"
"Haxe","2012","3","523"
"Pony","2012","3","508"
"Assembly","2012","3","497"
"F#","2012","3","455"
"Objective-J","2012","3","429"
"Arduino","2012","3","424"
"ColdFusion","2012","3","385"
"Jupyter Notebook","2012","3","304"
"Racket","2012","3","266"
"BlitzBasic","2012","3","260"
"Web Ontology Language","2012","3","257"
"Rust","2012","3","246"
"Verilog","2012","3","245"
"KiCad","2012","3","227"
"DCPU-16 ASM","2012","3","219"
"AGS Script","2012","3","210"
"PowerShell","2012","3","205"
"Tcl","2012","3","196"
"Pascal","2012","3","194"
"Monkey","2012","3","183"
"Agda","2012","3","167"
"Dart","2012","3","167"
"CMake","2012","3","163"
"VHDL","2012","3","161"
"AutoHotkey","2012","3","160"
"Prolog","2012","3","159"
"Eagle","2012","3","135"
"Standard ML","2012","3","133"
"LiveScript","2012","3","120"
"SuperCollider","2012","3","119"
"Visual Basic","2012","3","119"
"Modelica","2012","3","116"
"Kotlin","2012","3","113"
"Groff","2012","3","113"
"Cucumber","2012","3","109"
"JavaScript","2012","4","145410"
"Python","2012","4","136276"
"Ruby","2012","4","110016"
"Java","2012","4","98881"
"PHP","2012","4","97966"
"C","2012","4","74521"
"C++","2012","4","66748"
"Shell","2012","4","19426"
"C#","2012","4","16804"
"Objective-C","2012","4","15135"
"HTML","2012","4","13883"
"Haskell","2012","4","13102"
"CSS","2012","4","11490"
"Perl","2012","4","9039"
"Go","2012","4","8931"
"Scala","2012","4","8573"
"CoffeeScript","2012","4","8115"
"Erlang","2012","4","4715"
"VimL","2012","4","3671"
"Lua","2012","4","3644"
"Clojure","2012","4","3334"
"Emacs Lisp","2012","4","3145"
"OCaml","2012","4","2998"
"Groovy","2012","4","2271"
"Common Lisp","2012","4","1969"
"Puppet","2012","4","1406"
"TypeScript","2012","4","1377"
"Matlab","2012","4","1376"
"Makefile","2012","4","1215"
"D","2012","4","1179"
"BitBake","2012","4","993"
"R","2012","4","965"
"TeX","2012","4","942"
"XSLT","2012","4","893"
"ActionScript","2012","4","830"
"nesC","2012","4","819"
"F#","2012","4","767"
"PLpgSQL","2012","4","679"
"Perl6","2012","4","666"
"Scheme","2012","4","646"
"Jupyter Notebook","2012","4","627"
"Haxe","2012","4","589"
"Assembly","2012","4","570"
"Dart","2012","4","564"
"Vala","2012","4","545"
"FORTRAN","2012","4","531"
"Standard ML","2012","4","497"
"Rust","2012","4","475"
"Web Ontology Language","2012","4","472"
"Julia","2012","4","431"
"Smalltalk","2012","4","422"
"Factor","2012","4","402"
"Racket","2012","4","318"
"Logtalk","2012","4","306"
"PowerShell","2012","4","290"
"Agda","2012","4","286"
"ColdFusion","2012","4","285"
"Delphi","2012","4","267"
"Pascal","2012","4","265"
"Pony","2012","4","263"
"Objective-J","2012","4","258"
"Arduino","2012","4","241"
"Objective-C++","2012","4","224"
"BlitzBasic","2012","4","218"
"Tcl","2012","4","198"
"CMake","2012","4","193"
"Game Maker Language","2012","4","172"
"Eagle","2012","4","169"
"Elixir","2012","4","144"
"Prolog","2012","4","140"
"Verilog","2012","4","136"
"Monkey","2012","4","132"
"Apex","2012","4","132"
"XML","2012","4","131"
"Groff","2012","4","125"
"OpenEdge ABL","2012","4","111"
"AutoHotkey","2012","4","109"
"QML","2012","4","107"
"Kotlin","2012","4","104"
"LiveScript","2012","4","104"
"Visual Basic","2012","4","103"
"JavaScript","2013","1","202177"
"Python","2013","1","178522"
"Ruby","2013","1","148465"
"Java","2013","1","140397"
"PHP","2013","1","132038"
"C","2013","1","95838"
"C++","2013","1","85684"
"C#","2013","1","25371"
"Shell","2013","1","24759"
"Objective-C","2013","1","19954"
"CSS","2013","1","19431"
"HTML","2013","1","18403"
"Haskell","2013","1","15919"
"Scala","2013","1","11795"
"Perl","2013","1","11748"
"Go","2013","1","11573"
"CoffeeScript","2013","1","11480"
"VimL","2013","1","5155"
"Erlang","2013","1","4785"
"Lua","2013","1","4713"
"Emacs Lisp","2013","1","4537"
"OCaml","2013","1","3947"
"Clojure","2013","1","3541"
"Groovy","2013","1","3481"
"Dart","2013","1","2267"
"Common Lisp","2013","1","2147"
"XSLT","2013","1","2103"
"Matlab","2013","1","1892"
"TeX","2013","1","1672"
"TypeScript","2013","1","1579"
"R","2013","1","1519"
"ActionScript","2013","1","1443"
"Puppet","2013","1","1214"
"Makefile","2013","1","1186"
"Rust","2013","1","1064"
"Factor","2013","1","991"
"D","2013","1","962"
"Jupyter Notebook","2013","1","933"
"Vala","2013","1","908"
"Objective-J","2013","1","891"
"Haxe","2013","1","861"
"Assembly","2013","1","856"
"F#","2013","1","838"
"Perl6","2013","1","837"
"Julia","2013","1","810"
"Scheme","2013","1","796"
"Web Ontology Language","2013","1","791"
"PLpgSQL","2013","1","757"
"nesC","2013","1","734"
"BitBake","2013","1","711"
"PowerShell","2013","1","647"
"Smalltalk","2013","1","589"
"Pascal","2013","1","570"
"FORTRAN","2013","1","569"
"Standard ML","2013","1","551"
"Groff","2013","1","424"
"Arduino","2013","1","404"
"Visual Basic","2013","1","401"
"CMake","2013","1","396"
"Tcl","2013","1","375"
"Kotlin","2013","1","353"
"BlitzBasic","2013","1","331"
"Logtalk","2013","1","319"
"Objective-C++","2013","1","275"
"Game Maker Language","2013","1","275"
"ColdFusion","2013","1","254"
"LiveScript","2013","1","250"
"QML","2013","1","236"
"Swift","2013","1","231"
"Eagle","2013","1","227"
"VHDL","2013","1","216"
"Ada","2013","1","212"
"AGS Script","2013","1","202"
"Mercury","2013","1","201"
"Racket","2013","1","193"
"Prolog","2013","1","191"
"SQF","2013","1","188"
"Logos","2013","1","188"
"SourcePawn","2013","1","177"
"AutoIt","2013","1","163"
"Pony","2013","1","161"
"AppleScript","2013","1","159"
"Monkey","2013","1","155"
"Verilog","2013","1","154"
"Cucumber","2013","1","146"
"KiCad","2013","1","141"
"Delphi","2013","1","138"
"AutoHotkey","2013","1","128"
"Processing","2013","1","125"
"Agda","2013","1","122"
"UnrealScript","2013","1","117"
"ApacheConf","2013","1","116"
"PostScript","2013","1","114"
"Ceylon","2013","1","113"
"DM","2013","1","113"
"Coq","2013","1","113"
"Cuda","2013","1","105"
"JavaScript","2013","2","228966"
"Python","2013","2","199214"
"Ruby","2013","2","153835"
"Java","2013","2","153242"
"PHP","2013","2","143891"
"C","2013","2","106863"
"C++","2013","2","94914"
"C#","2013","2","29846"
"CSS","2013","2","27859"
"Shell","2013","2","26832"
"HTML","2013","2","25565"
"Objective-C","2013","2","23100"
"Go","2013","2","17374"
"Haskell","2013","2","15008"
"Perl","2013","2","14787"
"CoffeeScript","2013","2","13755"
"Scala","2013","2","13227"
"VimL","2013","2","5673"
"Erlang","2013","2","5264"
"Lua","2013","2","4928"
"Clojure","2013","2","4767"
"Emacs Lisp","2013","2","4763"
"OCaml","2013","2","4407"
"Groovy","2013","2","4002"
"Matlab","2013","2","2878"
"TypeScript","2013","2","2747"
"Puppet","2013","2","2361"
"Common Lisp","2013","2","2330"
"TeX","2013","2","2017"
"Dart","2013","2","1888"
"R","2013","2","1617"
"XSLT","2013","2","1512"
"Rust","2013","2","1363"
"F#","2013","2","1164"
"Jupyter Notebook","2013","2","1164"
"Makefile","2013","2","1100"
"Perl6","2013","2","1095"
"Julia","2013","2","1093"
"ActionScript","2013","2","979"
"FORTRAN","2013","2","929"
"Haxe","2013","2","929"
"Scheme","2013","2","928"
"nesC","2013","2","911"
"Smalltalk","2013","2","882"
"Vala","2013","2","868"
"Factor","2013","2","853"
"Web Ontology Language","2013","2","850"
"Assembly","2013","2","841"
"BitBake","2013","2","806"
"PowerShell","2013","2","754"
"PLpgSQL","2013","2","664"
"Pascal","2013","2","662"
"Arduino","2013","2","617"
"DM","2013","2","601"
"D","2013","2","570"
"Swift","2013","2","558"
"Ada","2013","2","555"
"BlitzBasic","2013","2","485"
"ColdFusion","2013","2","474"
"Tcl","2013","2","459"
"Eagle","2013","2","422"
"Kotlin","2013","2","383"
"CMake","2013","2","336"
"Visual Basic","2013","2","326"
"Standard ML","2013","2","325"
"Yacc","2013","2","303"
"Elixir","2013","2","297"
"Objective-J","2013","2","272"
"Racket","2013","2","271"
"Processing","2013","2","259"
"LiveScript","2013","2","258"
"Logos","2013","2","245"
"AutoHotkey","2013","2","228"
"Verilog","2013","2","223"
"Prolog","2013","2","218"
"Cucumber","2013","2","218"
"Mercury","2013","2","214"
"Logtalk","2013","2","205"
"OpenEdge ABL","2013","2","199"
"Pony","2013","2","184"
"Game Maker Language","2013","2","171"
"Groff","2013","2","159"
"SourcePawn","2013","2","159"
"IDL","2013","2","156"
"UnrealScript","2013","2","151"
"Xtend","2013","2","150"
"Objective-C++","2013","2","146"
"Agda","2013","2","142"
"VHDL","2013","2","124"
"OpenSCAD","2013","2","124"
"Smarty","2013","2","119"
"Coq","2013","2","111"
"ApacheConf","2013","2","111"
"JavaScript","2013","3","321142"
"Python","2013","3","259494"
"Java","2013","3","201277"
"PHP","2013","3","186918"
"Ruby","2013","3","176843"
"C++","2013","3","121443"
"C","2013","3","121178"
"HTML","2013","3","115973"
"CSS","2013","3","62986"
"C#","2013","3","44486"
"Shell","2013","3","38905"
"Objective-C","2013","3","33583"
"Go","2013","3","25870"
"Haskell","2013","3","19006"
"CoffeeScript","2013","3","18269"
"Perl","2013","3","18132"
"Scala","2013","3","16777"
"VimL","2013","3","9116"
"Lua","2013","3","6848"
"Clojure","2013","3","6640"
"Emacs Lisp","2013","3","6149"
