"name","year","quarter","count"
"JavaScript","2012","2","118009"
"Ruby","2012","2","67773"
"Python","2012","2","42212"
"Objective-C","2012","2","29909"
"PHP","2012","2","22882"
"Java","2012","2","17465"
"C","2012","2","16515"
"C++","2012","2","13109"
"HTML","2012","2","11170"
"Shell","2012","2","7051"
"CSS","2012","2","7019"
"C#","2012","2","5393"
"CoffeeScript","2012","2","5203"
"Scala","2012","2","4069"
"Erlang","2012","2","2613"
"Clojure","2012","2","2306"
"Haskell","2012","2","2252"
"Go","2012","2","2222"
"VimL","2012","2","2064"
"Perl","2012","2","1571"
"Emacs Lisp","2012","2","951"
"ActionScript","2012","2","866"
"Lua","2012","2","792"
"Groovy","2012","2","714"
"TypeScript","2012","2","517"
"Common Lisp","2012","2","470"
"PowerShell","2012","2","305"
"OCaml","2012","2","299"
"ApacheConf","2012","2","273"
"Haxe","2012","2","253"
"D","2012","2","220"
"LiveScript","2012","2","192"
"Objective-J","2012","2","174"
"Matlab","2012","2","173"
"XSLT","2012","2","158"
"Puppet","2012","2","157"
"DCPU-16 ASM","2012","2","141"
"Swift","2012","2","129"
"AGS Script","2012","2","122"
"Makefile","2012","2","121"
"Dart","2012","2","118"
"Assembly","2012","2","104"
"JavaScript","2012","3","121938"
"Ruby","2012","3","65990"
"Python","2012","3","42584"
"Objective-C","2012","3","36059"
"PHP","2012","3","22819"
"Java","2012","3","19858"
"C","2012","3","16757"
"C++","2012","3","11277"
"HTML","2012","3","11049"
"CSS","2012","3","8503"
"Shell","2012","3","7757"
"CoffeeScript","2012","3","6238"
"C#","2012","3","5233"
"Go","2012","3","4936"
"Objective-C++","2012","3","4626"
"Scala","2012","3","3438"
"Erlang","2012","3","2334"
"Clojure","2012","3","2086"
"Haskell","2012","3","2039"
"VimL","2012","3","1939"
"Perl","2012","3","1434"
"Emacs Lisp","2012","3","1106"
"Lua","2012","3","790"
"ActionScript","2012","3","671"
"Groovy","2012","3","535"
"OCaml","2012","3","343"
"Common Lisp","2012","3","312"
"ApacheConf","2012","3","291"
"Haxe","2012","3","280"
"TypeScript","2012","3","238"
"PowerShell","2012","3","236"
"Puppet","2012","3","213"
"Makefile","2012","3","203"
"Objective-J","2012","3","178"
"XSLT","2012","3","170"
"LiveScript","2012","3","168"
"Swift","2012","3","139"
"D","2012","3","138"
"F#","2012","3","137"
"Assembly","2012","3","122"
"Dart","2012","3","108"
"JavaScript","2012","4","142545"
"Ruby","2012","4","77908"
"Python","2012","4","48940"
"Objective-C","2012","4","41837"
"PHP","2012","4","24699"
"Java","2012","4","24199"
"C","2012","4","17832"
"C++","2012","4","12540"
"HTML","2012","4","12242"
"CSS","2012","4","7615"
"Shell","2012","4","7293"
"Go","2012","4","7009"
"CoffeeScript","2012","4","6576"
"C#","2012","4","5431"
"Scala","2012","4","3773"
"VimL","2012","4","2602"
"Erlang","2012","4","2393"
"Haskell","2012","4","2146"
"Clojure","2012","4","2137"
"Perl","2012","4","1484"
"Emacs Lisp","2012","4","1315"
"Objective-C++","2012","4","1246"
"TypeScript","2012","4","1062"
"Lua","2012","4","933"
"ActionScript","2012","4","682"
"Groovy","2012","4","483"
"OCaml","2012","4","435"
"Common Lisp","2012","4","348"
"ApacheConf","2012","4","346"
"PowerShell","2012","4","272"
"Haxe","2012","4","256"
"Puppet","2012","4","210"
"F#","2012","4","200"
"Matlab","2012","4","196"
"Makefile","2012","4","191"
"Dart","2012","4","165"
"Swift","2012","4","151"
"R","2012","4","136"
"Objective-J","2012","4","135"
"XSLT","2012","4","133"
"KiCad","2012","4","121"
"LiveScript","2012","4","121"
"Assembly","2012","4","112"
"D","2012","4","106"
"JavaScript","2013","1","203515"
"Ruby","2013","1","103643"
"Python","2013","1","71718"
"Objective-C","2013","1","64508"
"PHP","2013","1","36337"
"Java","2013","1","36036"
"C","2013","1","26575"
"HTML","2013","1","23378"
"C++","2013","1","17545"
"CSS","2013","1","17279"
"Shell","2013","1","10463"
"CoffeeScript","2013","1","10236"
"Go","2013","1","9305"
"C#","2013","1","7503"
"Scala","2013","1","4890"
"VimL","2013","1","3300"
"Haskell","2013","1","3193"
"Erlang","2013","1","3177"
"Clojure","2013","1","2937"
"Perl","2013","1","1825"
"Emacs Lisp","2013","1","1498"
"Lua","2013","1","1246"
"Objective-C++","2013","1","1051"
"TypeScript","2013","1","863"
"ActionScript","2013","1","769"
"Groovy","2013","1","666"
"Jupyter Notebook","2013","1","607"
"OCaml","2013","1","516"
"TeX","2013","1","480"
"Common Lisp","2013","1","473"
"PowerShell","2013","1","418"
"Haxe","2013","1","410"
"ApacheConf","2013","1","369"
"Makefile","2013","1","352"
"F#","2013","1","326"
"R","2013","1","300"
"Puppet","2013","1","299"
"Assembly","2013","1","266"
"Dart","2013","1","264"
"Matlab","2013","1","255"
"Rust","2013","1","247"
"Objective-J","2013","1","229"
"Swift","2013","1","223"
"XSLT","2013","1","193"
"Scheme","2013","1","176"
"D","2013","1","129"
"Julia","2013","1","129"
"LiveScript","2013","1","126"
"AppleScript","2013","1","117"
"JavaScript","2013","2","219265"
"Ruby","2013","2","102633"
"Python","2013","2","75521"
"Objective-C","2013","2","67716"
"Java","2013","2","44529"
"PHP","2013","2","39863"
"HTML","2013","2","31165"
"C","2013","2","27119"
"C++","2013","2","19741"
"CSS","2013","2","18035"
"Go","2013","2","13565"
"Shell","2013","2","12503"
"CoffeeScript","2013","2","10546"
"C#","2013","2","8351"
"VimL","2013","2","6120"
"Scala","2013","2","5856"
"Haskell","2013","2","3191"
"Clojure","2013","2","3020"
"Erlang","2013","2","2740"
"TypeScript","2013","2","2724"
"Jupyter Notebook","2013","2","2486"
"Emacs Lisp","2013","2","1790"
"Perl","2013","2","1661"
"Lua","2013","2","1356"
"Swift","2013","2","1134"
"Common Lisp","2013","2","1058"
"Groovy","2013","2","904"
"Assembly","2013","2","894"
"ActionScript","2013","2","786"
"Haxe","2013","2","675"
"OCaml","2013","2","597"
"F#","2013","2","570"
"Vala","2013","2","554"
"Dart","2013","2","499"
"Objective-C++","2013","2","496"
"Matlab","2013","2","445"
"PowerShell","2013","2","440"
"Puppet","2013","2","414"
"Makefile","2013","2","354"
"ApacheConf","2013","2","342"
"Cuda","2013","2","305"
"Rust","2013","2","232"
"Scheme","2013","2","222"
"R","2013","2","204"
"TeX","2013","2","201"
"wisp","2013","2","196"
"XSLT","2013","2","163"
"Yacc","2013","2","151"
"Julia","2013","2","150"
"LiveScript","2013","2","149"
"Objective-J","2013","2","148"
"VHDL","2013","2","131"
"AppleScript","2013","2","128"
"D","2013","2","127"
"Elixir","2013","2","113"
"Eagle","2013","2","112"
"JavaScript","2013","3","278039"
"Ruby","2013","3","103283"
"Python","2013","3","89361"
"Objective-C","2013","3","75149"
"PHP","2013","3","50150"
"Java","2013","3","45985"
"C","2013","3","38215"
"CSS","2013","3","32202"
"HTML","2013","3","29058"
"Go","2013","3","24675"
"C++","2013","3","22458"
"Shell","2013","3","16694"
"CoffeeScript","2013","3","13058"
"C#","2013","3","10485"
"Scala","2013","3","8461"
"VimL","2013","3","6871"
"Haskell","2013","3","3962"
"Clojure","2013","3","3927"
